ticker,name,exchange,sector,industry,market_cap_b,currency,buffett_score,data_coverage,graham_score,buffett_moat_score,qualitative_proxy_score,pe_trailing,pe_forward,pb_ratio,ps_ratio,ev_ebitda,graham_number_check,peg_ratio,roe,roic,roa,gross_margin,operating_margin,profit_margin,margin_trend,margin_trend_delta,fcf_yield,capex_to_net_income,current_ratio,debt_to_equity,quick_ratio,earnings_cagr,eps_positive_years,eps_total_years,revenue_growth,earnings_growth,dividend_yield,dividend_years,payout_ratio,shares_trend,shares_change_pct,insider_pct,institution_pct
QBE.AX,QBE Insurance Group Limited,ASX,Financial Services,Insurance - Property & Casualty,32.48,AUD,79.2,93.8,91.9,72.6,60.0,10.809045,11.058387,1.9586868,1.7359501,10.261,21.171533762105998,,19.33,16.92,4.2,18.18,22.6,11.53,,,11.31,7.37,8.478,0.34,3.097,29.37,4.0,4.0,0.0,18.9,501.0,38,42.02,stable,1.38,0.18,57.2
RMD.AX,ResMed Inc.,ASX,Healthcare,Medical Instruments & Supplies,52.42,AUD,77.4,100.0,76.7,80.8,60.0,25.34155,20.423817,0.5852186,9.71123,2.29,14.830346412830002,,25.68,22.56,14.74,61.47,35.16,27.53,expanding,2.79,2.7,7.19,3.06,0.13,1.974,15.78,4.0,4.0,11.0,14.5,97.0,13,22.35,stable,1.1,0.0,8.88
FMG.AX,Fortescue Ltd,ASX,Basic Materials,Other Industrial Metals & Mining,60.33,AUD,69.0,100.0,80.2,65.8,40.0,11.459064,14.702447,2.0529077,3.6918566,7.74,23.524400720392798,,18.69,17.81,11.77,41.9,35.08,22.85,declining,-7.59,5.29,96.0,3.025,0.28,2.191,-14.11,4.0,4.0,10.5,21.8,605.0,14,57.97,stable,0.08,48.72,16.87
ALL.AX,Aristocrat Leisure Limited,ASX,Consumer Cyclical,Gambling,28.23,AUD,61.5,100.0,46.5,70.8,70.0,24.380953,15.757618,4.3349013,4.483798,12.779,105.68902485493892,,18.45,14.19,11.58,60.94,30.93,26.05,expanding,5.69,4.46,27.94,1.647,0.31,1.5,14.68,4.0,4.0,-2.1,15.1,197.0,29,45.56,declining,-6.51,11.07,47.77
NAB.AX,National Australia Bank Limited,ASX,Financial Services,Banks - Diversified,145.83,AUD,54.2,53.1,47.0,100.0,0.0,21.595022,18.975237,2.317535,7.1232414,,50.04721931077,,,,,0.0,53.7,34.46,,,,20.69,,,,2.26,4.0,4.0,8.7,19.9,357.0,37,76.99,declining,-6.16,0.03,39.53
NEM.AX,Newmont Corporation,ASX,Basic Materials,Gold,198.5,AUD,53.7,94.7,23.3,79.2,0.0,20.29644,12.712044,4.1387,8.756406,14.526,84.00087622800001,,22.34,25.99,12.14,63.24,58.29,31.25,expanding,25.84,4.79,42.84,2.287,0.17,1.748,,2.0,4.0,20.6,-4.6,78.0,2,15.65,increasing,37.17,0.0,11.77
XYZ.AX,"Block, Inc.",ASX,Technology,Software - Infrastructure,56.2,AUD,50.9,100.0,73.3,33.3,60.0,12.907011,13.862547,1.7264339,2.3208733,26.639,22.2831013380729,,6.01,7.47,2.88,43.06,7.97,5.4,expanding,11.83,-1.84,5.31,2.201,0.4,1.147,104.3,3.0,4.0,3.6,-93.9,,0,0.0,increasing,33.28,0.0,0.4
BHP.AX,BHP Group Limited,ASX,Basic Materials,Other Industrial Metals & Mining,295.68,AUD,46.5,100.0,39.5,59.2,0.0,20.574205,16.104065,4.171746,5.476752,12.23,85.83035741193,,24.71,24.27,12.23,83.08,40.73,18.97,declining,-5.44,2.75,104.2,1.649,0.53,1.232,-26.5,4.0,4.0,10.8,27.5,329.0,37,54.33,stable,0.2,3.55,42.45
WBC.AX,Westpac Banking Corporation,ASX,Financial Services,Banks - Diversified,142.58,AUD,46.4,61.9,47.0,63.0,0.0,20.959799,18.950735,1.9572971,6.4927564,,41.0245537992829,,9.55,,0.63,0.0,56.03,31.49,,,,14.55,,,,6.38,4.0,4.0,5.3,-7.8,368.0,37,76.23,declining,-6.19,0.09,33.44
MQG.AX,Macquarie Group Limited,ASX,Financial Services,Capital Markets,75.56,AUD,44.3,77.0,59.1,34.1,40.0,17.866121,16.666948,2.2107646,4.09973,,39.4977878461166,,13.2,-1.35,0.97,0.0,25.2,23.29,stable,0.0,,28.67,,,,-5.74,4.0,4.0,-8.2,-37.4,385.0,29,68.34,stable,-0.65,10.53,34.75
GMG.AX,Goodman Group,ASX,Real Estate,REIT - Diversified,57.17,AUD,43.8,100.0,50.0,46.7,0.0,33.285713,19.498995,2.407232,18.439146,33.569,80.12643347641601,,7.93,1.53,3.87,82.27,55.9,54.55,declining,-9.45,5.93,0.38,2.913,0.18,2.375,-16.41,3.0,4.0,-15.9,-3.4,104.0,20,35.76,increasing,8.72,2.58,49.86
BXB.AX,Brambles Limited,ASX,Industrials,Specialty Business Services,34.07,AUD,42.9,100.0,34.9,50.8,30.0,26.69149,22.009302,7.0430646,4.8593397,17.88,187.98988834025403,,28.1,13.06,9.85,35.17,21.77,13.7,stable,1.19,2.09,147.34,0.667,0.85,0.594,10.34,4.0,4.0,5.0,16.0,256.0,37,59.69,stable,-1.38,0.52,49.38
RIO.AX,Rio Tinto Group,ASX,Basic Materials,Other Industrial Metals & Mining,269.54,AUD,42.5,100.0,55.8,36.7,20.0,19.375,14.04948,3.0574439,4.6764374,14.517,59.2379755625,,16.4,14.7,7.86,28.12,25.32,17.29,declining,-4.26,1.3,123.77,1.445,0.35,0.917,-5.3,4.0,4.0,14.6,-5.6,344.0,37,61.88,stable,-0.13,5.29,60.05
ANZ.AX,ANZ Group Holdings Limited,ASX,Financial Services,Banks - Diversified,117.78,AUD,42.2,56.6,56.1,40.5,0.0,20.03807,15.295348,1.6534723,5.416583,,33.132393690461,,8.33,,0.47,0.0,40.54,27.09,,,,,,,,-4.62,4.0,4.0,6.4,-26.9,422.0,37,84.48,stable,-0.21,0.01,36.26
SIG.AX,Sigma Healthcare Limited,ASX,Healthcare,Medical Distribution,31.8,AUD,41.5,83.2,37.2,31.7,100.0,55.100002,35.872395,6.4671364,3.3312976,35.862,356.33922857427285,,,7.57,,18.55,9.76,6.28,expanding,17.05,,10.86,1.667,0.41,1.079,313.59,3.0,4.0,180.5,6.5,145.0,22,0.0,increasing,953.4,55.58,8.31
WDS.AX,Woodside Energy Group Ltd,ASX,Energy,Oil & Gas E&P,57.89,AUD,40.7,100.0,86.0,15.0,0.0,15.225,21.619017,1.137519,4.458449,8.813,17.318726775,,7.2,7.75,2.6,34.94,19.08,20.93,declining,-26.18,-0.54,293.38,1.592,0.34,1.413,-19.58,4.0,4.0,-11.1,-14.4,546.0,34,74.9,stable,0.12,0.64,42.02
CSL.AX,CSL Limited,ASX,Healthcare,Biotechnology,70.4,AUD,39.8,100.0,61.6,30.8,0.0,16.717741,13.746159,2.6462073,4.5693727,17.11,44.238608273709296,,6.66,7.74,6.58,51.87,31.65,9.06,declining,-2.44,2.63,33.88,2.571,0.54,1.146,7.42,4.0,4.0,-1.8,-80.1,291.0,31,45.49,stable,0.52,0.03,35.94
EVN.AX,Evolution Mining Limited,ASX,Basic Materials,Gold,34.24,AUD,39.4,100.0,41.9,44.2,0.0,25.545454,15.879893,6.077866,6.6959457,11.744,155.261846321164,,26.39,11.89,13.25,42.59,42.79,25.97,stable,-0.77,3.41,217.46,1.859,0.26,1.4,5.16,4.0,4.0,37.5,107.0,226.0,12,30.3,increasing,16.22,0.93,68.75
NST.AX,Northern Star Resources Limited,ASX,Basic Materials,Gold,44.05,AUD,38.9,100.0,50.0,27.5,60.0,26.311966,13.286348,2.8881695,6.328059,12.337,75.99341768623701,,12.8,9.91,8.15,37.84,30.47,22.24,expanding,35.07,0.65,171.42,1.742,0.12,0.913,32.87,4.0,4.0,19.0,13.5,158.0,13,46.81,increasing,22.61,3.65,60.48
WES.AX,Wesfarmers Limited,ASX,Consumer Cyclical,Home Improvement Retail,87.67,AUD,38.9,100.0,27.9,53.3,0.0,28.6,27.586256,11.158959,1.8884696,22.066,319.1462274,,36.39,14.54,9.0,33.66,9.66,6.6,stable,-1.79,3.75,39.2,1.1,1.62,0.322,5.61,4.0,4.0,3.1,9.3,266.0,37,76.3,stable,0.08,0.71,33.89
CBA.AX,Commonwealth Bank of Australia,ASX,Financial Services,Banks - Diversified,291.55,AUD,37.9,61.9,36.4,53.7,0.0,28.077295,25.57202,3.7750065,10.241736,,105.9919711274175,,13.64,,0.77,0.0,55.51,36.35,,,,16.17,,,,-1.37,4.0,4.0,6.6,4.5,285.0,33,78.06,stable,-1.65,0.25,31.25
TLS.AX,Telstra Group Limited,ASX,Communication Services,Telecom Services,58.24,AUD,35.8,100.0,27.9,47.5,0.0,25.875,23.626902,4.4080067,2.514432,11.066,114.0571733625,,14.75,8.04,5.85,48.94,16.51,9.8,expanding,3.18,6.69,178.36,0.588,1.19,0.433,6.51,4.0,4.0,0.3,11.2,402.0,28,95.96,stable,-1.47,0.46,27.31
TCL.AX,Transurban Group,ASX,Industrials,Infrastructure Operations,45.24,AUD,35.8,100.0,27.9,37.5,60.0,96.666664,65.315315,5.1382,11.541496,28.782,496.6926529648,,5.36,2.46,2.08,60.61,35.6,12.19,expanding,4.85,1.26,681.95,0.706,2.25,0.703,62.66,4.0,4.0,8.2,,468.0,24,435.06,stable,1.22,0.27,58.61
COL.AX,Coles Group Limited,ASX,Consumer Defensive,Grocery Stores,28.4,AUD,28.3,100.0,18.6,40.0,0.0,27.842106,20.701462,7.289011,0.6300532,19.762,202.94141689716602,,26.52,10.16,5.75,26.98,3.92,2.25,stable,0.58,4.7,137.81,0.632,2.72,0.17,0.73,4.0,4.0,2.5,-11.4,342.0,6,90.91,stable,0.78,0.57,37.46
AAI.AX,Alcoa Corporation,ASX,Basic Materials,Aluminum,25.65,AUD,25.7,100.0,45.3,15.8,0.0,14.399356,7.72394,2.7138257,1.9987202,12.931,39.0773423762492,,19.72,9.08,5.46,17.86,13.63,9.02,declining,-9.12,4.63,966.67,1.439,0.44,0.754,-38.85,2.0,4.0,-1.1,6.4,62.0,1,7.67,increasing,40.34,0.0,6.72
WOW.AX,Woolworths Group Limited,ASX,Consumer Defensive,Grocery Stores,44.89,AUD,23.9,100.0,27.9,25.0,0.0,75.0,24.973158,9.686347,0.6387663,18.435,726.4760249999999,,11.88,-3.72,3.64,27.33,2.59,0.85,declining,-2.41,5.05,262.51,0.557,3.62,0.179,-40.98,4.0,4.0,3.4,-49.3,245.0,32,172.48,stable,0.63,0.52,33.2
AMC.AX,Amcor plc,ASX,Consumer Cyclical,Packaging & Containers,30.99,AUD,18.6,100.0,40.7,5.8,0.0,35.86898,10.667947,1.8789147,1.5804842,16.367,67.394753796006,,7.73,3.81,3.91,18.93,8.29,3.04,stable,-0.51,1.44,113.5,1.301,1.39,0.641,-10.74,4.0,4.0,68.1,-32.1,572.0,37,192.77,increasing,54.83,0.0,12.75
AFT.AX,AFT Corporation Limited,ASX,,,1647536.57,USD,0.0,3.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
WFE.AX,Winmar Resources Limited,ASX,,,6348.13,USD,0.0,3.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
